Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0104,20.6577,Valid
TST-0045,34.3927,Valid
TST-0289,45.0918,Valid
TST-0048,27.8206,Valid
TST-0110,18.5951,Valid
TST-0037,41.041,Valid
TST-0305,18.5179,Valid
TST-0240,32.657,Valid
TST-0155,33.0624,Valid
TST-0119,51.8416,Valid
TST-0295,23.4953,Valid
TST-0229,18.4852,Valid
TST-0106,21.0805,Valid
TST-0052,15.6663,Valid
TST-0276,21.6209,Valid
TST-0216,22.3356,Valid
TST-0208,20.2396,Valid
TST-0188,22.123,Valid
TST-0145,49.5084,Valid
TST-0039,21.6336,Valid
TST-0173,18.8909,Valid
TST-0082,20.2936,Valid
TST-0296,36.852,Valid
TST-0297,37.1888,Valid
TST-0125,17.5364,Valid
TST-0199,21.2368,Valid
TST-0330,21.6587,Valid
TST-0133,36.732,Valid
TST-0175,32.2413,Valid
TST-0270,45.3856,Valid
TST-0255,17.1873,Valid
TST-0025,13.3609,Valid
TST-0073,14.0395,Valid
TST-0077,20.7123,Valid
TST-0293,14.9146,Valid
TST-0212,32.2082,Invalid
TST-0081,14.4194,Valid
TST-0328,19.3722,Valid
TST-0290,48.6679,Valid
TST-0337,16.7317,Valid
TST-0171,23.0602,Valid
TST-0057,29.9234,Valid
TST-0284,19.3043,Valid
TST-0063,21.1629,Valid
TST-0022,22.4034,Valid
TST-0044,17.5292,Valid
TST-0035,24.4142,Valid
TST-0258,44.3317,Invalid
TST-0334,26.645,Valid
TST-0018,27.0151,Valid
TST-0321,21.5519,Valid
TST-0282,14.8779,Valid
TST-0142,45.2001,Invalid
TST-0312,23.3251,Valid
TST-0101,21.4647,Invalid
TST-0134,22.2973,Invalid
TST-0287,33.4737,Valid
TST-0153,33.3521,Valid
TST-0299,28.9844,Valid
TST-0204,22.8629,Invalid
TST-0090,19.5503,Valid
TST-0186,32.898,Valid
TST-0209,48.9938,Valid
TST-0130,21.4686,Valid
TST-0224,22.7066,Valid
TST-0302,26.5747,Valid
TST-0118,15.5041,Valid
TST-0292,20.3554,Valid
TST-0345,22.8949,Invalid
TST-0108,20.1297,Valid
TST-0071,15.5115,Valid
TST-0053,15.8323,Valid
TST-0273,17.0728,Valid
TST-0300,15.1962,Valid
TST-0148,18.9462,Valid
TST-0347,39.5662,Valid
TST-0146,28.2937,Invalid
TST-0241,18.2063,Valid
TST-0096,16.6394,Invalid
TST-0220,23.1753,Valid
TST-0174,22.091,Valid
TST-0246,14.9066,Valid
TST-0136,18.623,Valid
TST-0109,21.6412,Valid
TST-0040,37.3083,Valid
TST-0043,20.9171,Invalid
TST-0181,36.9501,Valid
TST-0268,17.2854,Valid
TST-0253,16.2357,Valid
TST-0017,25.0201,Valid
TST-0201,23.0052,Valid
TST-0129,16.7813,Valid
TST-0068,47.1636,Valid
TST-0161,14.743,Valid
TST-0298,20.7285,Invalid
TST-0094,43.947,Valid
TST-0336,28.1145,Invalid
TST-0149,21.1298,Valid
TST-0191,48.2777,Valid
TST-0032,18.3071,Invalid
TST-0054,16.4337,Valid
TST-0349,52.6371,Valid
TST-0100,18.1055,Valid
TST-0162,19.2208,Valid
TST-0326,22.784,Valid
TST-0340,19.5406,Valid
TST-0319,28.819,Valid
TST-0064,18.9083,Valid
TST-0259,28.5304,Valid
TST-0066,44.3691,Valid
TST-0123,47.9649,Valid
TST-0218,20.7113,Valid
TST-0261,24.0514,Valid
TST-0196,21.2524,Valid
TST-0281,26.6469,Invalid
TST-0303,37.1999,Valid
TST-0254,23.0684,Valid
TST-0322,18.4411,Valid
TST-0139,16.947,Valid
TST-0257,37.3511,Valid
TST-0033,16.8119,Valid
TST-0112,49.002,Valid
TST-0021,23.2658,Valid
TST-0083,18.436,Valid
TST-0150,23.762,Valid
TST-0265,23.4506,Valid
TST-0227,35.1357,Valid
TST-0170,25.0997,Valid
TST-0318,26.0586,Valid
TST-0097,16.2967,Valid
TST-0152,34.423,Valid
TST-0084,55.3988,Valid
TST-0124,17.1562,Valid
TST-0098,33.4456,Valid
TST-0341,29.9493,Valid
TST-0042,30.6532,Valid
TST-0189,19.6444,Valid
TST-0285,22.9961,Valid
TST-0020,22.0304,Valid
TST-0314,43.566,Valid
